Parafia	Miejscowość	Adres	Diecezja	Dekanat	Województwo
św. Marii Magdaleny	Zborowice	św. Marii Magdaleny|Zborowice 14|33-190 Zborowice|woj. małopolskie	tarnowska	Ciężkowice	małopolskie
św. Marii Magdaleny	Kanina	św. Marii Magdaleny|Kanina 13|34-600 Kanina|woj. małopolskie	tarnowska	Limanowa	małopolskie
św. Marii Magdaleny	Szczucin	św. Marii Magdaleny|Rynek 19|33-230 Szczucin|woj. małopolskie	tarnowska	Szczucin	małopolskie
św. Marii Magdaleny	Ostrowice	św. Marii Magdaleny|Ostrowite|87-400 Ostrowice|woj. kujawsko-pomorskie	toruńska	Golub	kujawsko-pomorskie
św. Marii Magdaleny	Orzechowo	św. Marii Magdaleny|Orzechowo|87-213 Orzechowo|woj. kujawsko-pomorskie	toruńska	Kowalewo Pomorskie	kujawsko-pomorskie
św. Marii Magdaleny	Kurzętnik	św. Marii Magdaleny|ul. Kościelna 3|13-306 Kurzętnik|woj. warmińsko-mazurskie	toruńska	Kurzętnik	warmińsko-mazurskie
św. Marii Magdaleny	Łopatki	św. Marii Magdaleny|Łopatki|87-222 Łopatki|woj. kujawsko-pomorskie	toruńska	Wąbrzeźno	kujawsko-pomorskie
św. Marii Magdaleny	Warszawa	św. Marii Magdaleny|ul. Wólczyńska 64|01-908 Warszawa|woj. mazowieckie	warszawska	Warszawa-Bielany	mazowieckie
św. Marii Magdaleny	Osiek k. Oławy	św. Marii Magdaleny|Osiek k. Oławy 84|55-200 Osiek k. Oławy|woj. dolnośląskie	wrocławska	Oława	dolnośląskie
św. Marii Magdaleny	Nowe Miasteczko	św. Marii Magdaleny|ul. Polna 2|67-124 Nowe Miasteczko|woj. lubuskie	zielonogórsko-gorzowska	Kożuchów	lubuskie
św. Marii Magdaleny	Pszczew	św. Marii Magdaleny|ul. Sikorskiego 15|66-330 Pszczew|woj. lubuskie	zielonogórsko-gorzowska	Pszczew	lubuskie
św. Marii Magdaleny	Zamysłów	św. Marii Magdaleny|Zamysłów|67-407 Zamysłów|woj. lubuskie	zielonogórsko-gorzowska	Wschowa	lubuskie
św. Marii Magdaleny	Brzeźnica	św. Marii Magdaleny|ul. Zielonogórska 25|68-113 Brzeźnica|woj. lubuskie	zielonogórsko-gorzowska	Żagań	lubuskie
Św. Marii Magdaleny	Wąwelno	Św. Marii Magdaleny|Wąwelno ul. Wąska 6|89-413 Wąwelno|woj. kujawsko-pomorskie	bydgoska	Sępólno Krajeńskie	kujawsko-pomorskie
Św. Marii Magdaleny	Zakrzewo	Św. Marii Magdaleny|ul. ks. Domańskiego 11|77-424 Zakrzewo|woj. wielkopolskie	bydgoska	Złotów I	wielkopolskie
Św. Marii Magdaleny	Działoszyn	Św. Marii Magdaleny|ul. Wieluńska 2|98-355 Działoszyn|woj. łódzkie	częstochowska	DZIAŁOSZYŃSKI	łódzkie
Św. Marii Magdaleny	Koziegłowy	Św. Marii Magdaleny|ul. ul. Kościelna 4|42-350 Koziegłowy|woj. śląskie	częstochowska	KOZIEGŁOWSKI	śląskie
Św. Marii Magdaleny	Ożarów	Św. Marii Magdaleny|Ożarów 25|98-345 Ożarów|woj. łódzkie	częstochowska	MOKRSKI	łódzkie
Św. Marii Magdaleny	Radomsko	Św. Marii Magdaleny|ul. M. Konopnickiej 4|97-500 Radomsko|woj. łódzkie	częstochowska	NAJŚW. SERCA PANA JEZUSA W RADOMSKU	łódzkie
Św. Marii Magdaleny	Łyskornia	Św. Marii Magdaleny|Łyskornia 103|98-350 Łyskornia|woj. łódzkie	częstochowska	NAJŚW. MARYI PANNY POCIESZENIA W WIELUNIU	łódzkie
Św. Marii Magdaleny	Kalwa	Św. Marii Magdaleny|Szropy 16|82-410 Kalwa|woj. pomorskie	elbląska	MALBORK I	pomorskie
Św. Marii Magdaleny	Strzelno	Św. Marii Magdaleny|Strzelno ul. Kasztanowa 6|84-103 Strzelno|woj. pomorskie	gdańska	Puck	pomorskie
Św. Marii Magdaleny	Chorzów Stary	Św. Marii Magdaleny|ul. Bożogrobców 31|41-503 Chorzów Stary|woj. śląskie	katowicka	Chorzów	śląskie
Św. Marii Magdaleny	Bełk	Św. Marii Magdaleny|ul. Kościelna 6|44-237 Bełk	katowicka	Dębieńsko	
Św. Marii Magdaleny	Lubomia	Św. Marii Magdaleny|ul. Pogrzebieńska 2|44-360 Lubomia|woj. śląskie	katowicka	Pogrzebień	śląskie
Św. Marii Magdaleny	Rokitno	Św. Marii Magdaleny|Rokitno 66|42-445 Rokitno|woj. śląskie	kielecka	Szczekociny	śląskie
Św. Marii Magdaleny	Poronin	Św. Marii Magdaleny|ul. J. Piłsudskiego 17|34-520 Poronin|woj. małopolskie	krakowska	Biały Dunajec	małopolskie
Św. Marii Magdaleny	Karłowice Wielkie	Św. Marii Magdaleny|Karłowice Wielkie 22|48-387 Karłowice Wielkie	opolska	Otmuchów	
Św. Marii Magdaleny	Dukla-Fara	Św. Marii Magdaleny|Trakt Węgierski 18|38-450 Dukla-Fara|woj. podkarpackie	przemyska (łac)	Dukla	podkarpackie
Św. Marii Magdaleny	Brzyska	Św. Marii Magdaleny|Brzyska 15a|38-212 Brzyska|woj. podkarpackie	rzeszowska	Brzostek	podkarpackie
Św. Marii Magdaleny	Samoklęski	Św. Marii Magdaleny|Samoklęski 125|38-223 Samoklęski|woj. podkarpackie	rzeszowska	Nowy Żmigród	podkarpackie
Św. Marii Magdaleny	Biskupice	Św. Marii Magdaleny|ul. Kościelna 19|87-152 Biskupice|woj. kujawsko-pomorskie	toruńska	Bierzgłowo	kujawsko-pomorskie
Św. Marii Magdaleny	Magdalenka	Św. Marii Magdaleny|ul. Słojewskiego19|05-552 Magdalenka|woj. mazowieckie	warszawska	Raszyn	mazowieckie
Św. Marii Magdaleny	Warszawa	Św. Marii Magdaleny|ul. Echa Leśne 2|03-214 Warszawa|woj. mazowieckie	warszawsko-praska	Warszawa-Bródno	mazowieckie
Św. Marii Magdaleny	CZERWONKA	Św. Marii Magdaleny|Czerwonka 41|07-425 CZERWONKA	łomżyńska	Różan	
Św. Marii Magdaleny	LEŹNICA MAŁA	Św. Marii Magdaleny|Leźnica Mała 28|99-142 LEŹNICA MAŁA|woj. łódzkie	łowicka	Łęczyca	łódzkie
Św. Marii Magdaleny	ŁĘKI KOŚCIELNE	Św. Marii Magdaleny|Łęki Kościelne 43|99-314 ŁĘKI KOŚCIELNE|woj. łódzkie	łowicka	Piątek	łódzkie
Św. Marii Magdaleny	GORZANÓW	Św. Marii Magdaleny|ul.Kłodzka 9|57-521 GORZANÓW|woj. dolnośląskie	świdnicka	Bystrzyca Kłodzka	dolnośląskie
Św. Marii Magdaleny	WÓJTOWICE	Św. Marii Magdaleny|Wójtowice ul.Górna 4|57-516 WÓJTOWICE|woj. dolnośląskie	świdnicka	Bystrzyca Kłodzka	dolnośląskie
Św. Marii Magdaleny	ŚCINAWKA ŚREDNIA	Św. Marii Magdaleny|ul.M.Konopnickiej 40|57-410 ŚCINAWKA ŚREDNIA|woj. dolnośląskie	świdnicka	Nowa Ruda	dolnośląskie
Św. Marii Magdaleny	TARNÓW ŚLĄSKI	Św. Marii Magdaleny|Stoszowice 47|57-213 TARNÓW ŚLĄSKI|woj. dolnośląskie	świdnicka	Ząbkowice Śląskie	dolnośląskie
Św. Marii Magdaleny	Dąbrowa Górnicza - Ząbkowice	Św. Marii Magdaleny|ul.Oświecenia 34|42-520 Dąbrowa Górnicza - Ząbkowice	sosnowiecka	Dąbrowa Górnicza-Najśwętszego Serca Pana Jezusa	
Św. Marii Magdaleny	Gołaczewy	Św. Marii Magdaleny|Gołaczewy Stara Wieś 15|32-340 Gołaczewy	sosnowiecka	Wolbrom-Podwyższenia Krzyża	
Św. Marii Magdaleny	Radlin II	Św. Marii Magdaleny|ul. Bolesława Chrobrego 106|44-313 Radlin II|woj. śląskie	katowicka	Wodzisław Śląski	śląskie
Św. Marii Magdaleny	Dobrowoda	Św. Marii Magdaleny|Dobrowoda 37|28-100 Dobrowoda|woj. świętokrzyskie	kielecka	Busko	świętokrzyskie
Św. Marii Magdaleny	Chomentów	Św. Marii Magdaleny|Chomentów 41|28-305 Chomentów|woj. świętokrzyskie	kielecka	Chęciny	świętokrzyskie
Św. Marii Magdaleny	Dzierążnia	Św. Marii Magdaleny|Dzierążnia 130|28-440 Dzierążnia|woj. świętokrzyskie	kielecka	Skalmbierz	świętokrzyskie
Św. Marii Magdaleny	Odrowąż	Św. Marii Magdaleny|Odrowąż Podhalański 33|34-408 Odrowąż|woj. małopolskie	krakowska	Czarny Dunajec	małopolskie
Św. Marii Magdaleny	Serniki	Św. Marii Magdaleny|21-107 Serniki|woj. lubelskie	lubelska	Lubartów	lubelskie
Św. Marii Magdaleny	Frączki	Św. Marii Magdaleny|Frączki 26|11-002 Frączki	warmińska (olsztyńska)	Dobre Miasto	
Św. Marii Magdaleny	Pieszkowo	Św. Marii Magdaleny|Pieszkowo 21|11-223 Pieszkowo	warmińska (olsztyńska)	Górowo Iławeckie	
Św. Marii Magdaleny	Bieniewo	Św. Marii Magdaleny|Bieniewo 57|11-135 Bieniewo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Orneta	warmińsko-mazurskie
Św. Marii Magdaleny	Rozogi	Św. Marii Magdaleny|ul. 24 Stycznia 32|12-114 Rozogi|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Rozogi	warmińsko-mazurskie
Św. Marii Magdaleny	Lewice	Św. Marii Magdaleny|Lewice–Bliszczyce 113|48-140 Lewice|woj. opolskie	opolska	Branice	opolskie
Św. Marii Magdaleny	Dobrodzień	Św. Marii Magdaleny|Pl. Wolności 4|42-780 Dobrodzień	opolska	Dobrodzień	
Św. Marii Magdaleny	Zawiszyce	Św. Marii Magdaleny|Zawiszyce 13|48-118 Zawiszyce	opolska	Głubczyce	
Św. Marii Magdaleny	Racławiczki	Św. Marii Magdaleny|ul. Plebiscytowa 5|47-370 Racławiczki|woj. opolskie	opolska	Krapkowice	opolskie
Św. Marii Magdaleny	Jasiona	Św. Marii Magdaleny|ul. Franciszka Myśliwca 4|47-330 Jasiona|woj. opolskie	opolska	Leśnica	opolskie
Św. Marii Magdaleny	Długomiłowice	Św. Marii Magdaleny|ul. Kościelna 9|47-262 Długomiłowice	opolska	Łany	
Św. Marii Magdaleny	Stare Olesno	Św. Marii Magdaleny|ul. Kluczborska 23|46-300 Stare Olesno|woj. opolskie	opolska	Olesno	opolskie
Św. Marii Magdaleny	Dziewiętlice	Św. Marii Magdaleny|Dziewiętlice 80|48-368 Dziewiętlice	opolska	Paczków	
Św. Marii Magdaleny	Łambinowice	Św. Marii Magdaleny|ul. Zawadzkiego 32|49-140 Łambinowice	opolska	Skoroszyce	
Św. Marii Magdaleny	Ugoszcz	Św. Marii Magdaleny|Ugoszcz 13|77-143 Ugoszcz|woj. pomorskie	pelplińska	Bytów	pomorskie
Św. Marii Magdaleny	Garczegorze	Św. Marii Magdaleny|Garczegorze ul. Pachnąca 27|84-351 Garczegorze|woj. pomorskie	pelplińska	Łeba	pomorskie
Św. Marii Magdaleny	Strzepcz	Św. Marii Magdaleny|Strzepcz 50|84-222 Strzepcz|woj. pomorskie	pelplińska	Sierakowice	pomorskie
Św. Marii Magdaleny	Jaraczewo	Św. Marii Magdaleny|ul. Jarocińska 16|63-233 Jaraczewo|woj. wielkopolskie	poznańska	Borek	wielkopolskie
Św. Marii Magdaleny	Czarnków	Św. Marii Magdaleny|ul. Kościelna 1|64-700 Czarnków|woj. wielkopolskie	poznańska	Czarnków	wielkopolskie
Św. Marii Magdaleny	Przemyśl	Św. Marii Magdaleny|ul. Franciszkańska 2a|37-700 Przemyśl|woj. podkarpackie	przemyska (łac)	Przemyśl I	podkarpackie
Św. Marii Magdaleny	Ostrów k. Przemyśla	Św. Marii Magdaleny|Ostrów 75|37-756 Ostrów k. Przemyśla	przemyska (łac)	Przemyśl II	
Św. Marii Magdaleny	Nowosielice Przeworskie	Św. Marii Magdaleny|Nowosielce Przeworskie 67|37-200 Nowosielice Przeworskie|woj. podkarpackie	przemyska (łac)	Przeworsk I	podkarpackie
Św. Marii Magdaleny	Głębokie	Św. Marii Magdaleny|Głębokie|38-520 Głębokie	przemyska (łac)	Rymanów	
Św. Marii Magdaleny	Pilichowo	Św. Marii Magdaleny|Pilichowo|09-454 Pilichowo|woj. mazowieckie	płocka	Bodzanów	mazowieckie
Św. Marii Magdaleny	Mokowo	Św. Marii Magdaleny|Mokowo 17|87-606 Mokowo|woj. kujawsko-pomorskie	płocka	Dobrzyń n.Wisłą	kujawsko-pomorskie
Św. Marii Magdaleny	Szczutowo	Św. Marii Magdaleny|ul. 3-go Maja 25|09-227 Szczutowo|woj. mazowieckie	płocka	Sierpc	mazowieckie
Św. Marii Magdaleny	Łęgonice Małe	Św. Marii Magdaleny|Łęgonice Małe 45|26-425 Łęgonice Małe|woj. mazowieckie	radomska	Drzewica	mazowieckie
Św. Marii Magdaleny	Wrzeszczów	Św. Marii Magdaleny|Wrzeszczów 13|26-650 Wrzeszczów|woj. mazowieckie	radomska	Przytyk	mazowieckie
Św. Marii Magdaleny	Tarnobrzeh-Miechocin	Św. Marii Magdaleny|ul. Mickiewicza 93|39-400 Tarnobrzeh-Miechocin|woj. podkarpackie	sandomierska	Tarnobrzeg-Południe	podkarpackie
Św. Marii Magdaleny	Tuchowicz	Św. Marii Magdaleny|21-421 Tuchowicz|woj. lubelskie	siedlecka	Łuków II	lubelskie
Św. Marii Magdaleny	Promna	Św. Marii Magdaleny|Promna 106|26-803 Promna|woj. mazowieckie	warszawska	Warka	mazowieckie
Św. Marii Magdaleny	Konin	Św. Marii Magdaleny|ul. Reformacka 2|62-500 Konin|woj. wielkopolskie	włocławska	Konin I	wielkopolskie
Św. Marii Magdaleny	Grabkowo	Św. Marii Magdaleny|Grabkowo 18|87-830 Grabkowo|woj. kujawsko-pomorskie	włocławska	Kowal	kujawsko-pomorskie
Św. Marii Magdaleny	Sompolno	Św. Marii Magdaleny|ul. 11 Listopada 2|62-610 Sompolno|woj. wielkopolskie	włocławska	Sompolno	wielkopolskie
Św. Marii Magdaleny i Św. Kazimierza	Szydłowo	Św. Marii Magdaleny i Św. Kazimierza|Szydłowo 65 B|06-516 Szydłowo|woj. mazowieckie	płocka	Mława	mazowieckie
Św. Marii Magdaleny i Św. Klemensa	Sędziejowice	Św. Marii Magdaleny i Św. Klemensa|ul.Powstańców 1863|98-160 Sędziejowice|woj. łódzkie	łódzka	Widawa	łódzkie
Św. Marii Magdaleny i Św. Mikołaja Biskupa Wyznawcy	Chełmce	Św. Marii Magdaleny i Św. Mikołaja Biskupa Wyznawcy|Chełmce 165|26-067 Chełmce|woj. świętokrzyskie	kielecka	Piekoszów	świętokrzyskie
św. Marii Magdaleny i św. Stanisława Bpa	Szczepanów	św. Marii Magdaleny i św. Stanisława Bpa|Szczepanów 49|32-823 Szczepanów|woj. małopolskie	tarnowska	Szczepanów	małopolskie
Św. Marii Magdaleny i Św. Walentego	Lutry	Św. Marii Magdaleny i Św. Walentego|Lutry 37|11-332 Lutry	warmińska (olsztyńska)	Jeziorany	
św. Marii Magdaleny i św. Wojciecha	Lisewo Kościelne	św. Marii Magdaleny i św. Wojciecha|Lisewo Kościelne 56|88-180 Lisewo Kościelne|woj. kujawsko-pomorskie	gnieźnieńska	złotnicki	kujawsko-pomorskie
Św. Marka	Bydgoszcz	Św. Marka|ul. Salezjańska 1|85-792 Bydgoszcz|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz V	kujawsko-pomorskie
św. Marka Ew.	Polanowice	św. Marka Ew.|Polanowice|88-150 Polanowice|woj. kujawsko-pomorskie	gnieźnieńska	kruszwicki	kujawsko-pomorskie
św. Marka Ewangelisty	Rososzyca	św. Marka Ewangelisty|Rososzyca ul. Kościelna 11|63-405 Rososzyca|woj. wielkopolskie	kaliska	ołobocki	wielkopolskie
św. Marka Ewangelisty	Kraków	św. Marka Ewangelisty|ul. św. Marka 10|31-012 Kraków|woj. małopolskie	krakowska	Kraków-Centrum	małopolskie
św. Marka Ewangelisty	Poznań	św. Marka Ewangelisty|os. Czecha 110|61-291 Poznań|woj. wielkopolskie	poznańska	Poznań-Rataje	wielkopolskie
św. Marka Ewangelisty	Mielec-Rzochów	św. Marka Ewangelisty|ul. Rzochowska 89|39-323 Mielec-Rzochów	tarnowska	Mielec-Południe	
Św. Marka Ewangelisty	Kolonia Lisowice	Św. Marka Ewangelisty|Kolonia Lisowice|98-355 Kolonia Lisowice|woj. łódzkie	częstochowska	DZIAŁOSZYŃSKI	łódzkie
Św. Marka Ewangelisty	Kąty Rybackie	Św. Marka Ewangelisty|ul. Morska 12|82-104 Kąty Rybackie	elbląska	NADMORSKI - STEGNA	
Św. Marka Ewangelisty	Rudnik	Św. Marka Ewangelisty|22-330 Rudnik|woj. lubelskie	lubelska	Turobin	lubelskie
Św. Marka Ewangelisty	Siedlątków	Św. Marka Ewangelisty|Siedlątków|99-235 Siedlątków|woj. łódzkie	włocławska	Dobra	łódzkie
Św. Marka Ewangelisty	Łódź	Św. Marka Ewangelisty|ul. Limanowskiego 59|91-317 Łódź	łódzka	Łódź-Żubardź	
Św. Marka Ewangielisty	USTKA	Św. Marka Ewangielisty|ul.Komandorska 64|76-271 USTKA	ordynariat polowy	Marynarka Wojenna	
św. Mateusza	Ostrowo n. Gopłem	św. Mateusza|Ostrowo n. Gopłem|88-121 Ostrowo n. Gopłem|woj. kujawsko-pomorskie	gnieźnieńska	kruszwicki	kujawsko-pomorskie
św. Mateusza	Lubcz	św. Mateusza|Lubcz 8|88-420 Lubcz|woj. kujawsko-pomorskie	gnieźnieńska	rogowski	kujawsko-pomorskie
Św. Mateusza	Bydgoszcz	Św. Mateusza|ul. Skarżyńskiego 4|85-798 Bydgoszcz|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz V	kujawsko-pomorskie
Św. Mateusza	Dalików	Św. Mateusza|Pl. Powstańców 5|99-205 Dalików|woj. łódzkie	łódzka	Aleksandrów Łódzki	łódzkie
Św. Mateusza	Sternalice	Św. Mateusza|Sternalice 83|46-333 Sternalice|woj. opolskie	opolska	Gorzów Śląski	opolskie
Św. Mateusza	Starogard Gdański	Św. Mateusza|ul. Gen. J. Hallera 1|83-200 Starogard Gdański|woj. pomorskie	pelplińska	Starogard Gdański	pomorskie
Św. Mateusza	Gniewczyna Łańcucka	Św. Mateusza|Gniewczyna 530|37-203 Gniewczyna Łańcucka|woj. podkarpackie	przemyska (łac)	Przeworsk I	podkarpackie
Św. Mateusza	Zielona Ciechanowska	Św. Mateusza|06-405 Zielona Ciechanowska	płocka	Przasnysz	
Św. Mateusza	Lutocin	Św. Mateusza|ul. M. Konopnickiej 2|09-317 Lutocin|woj. mazowieckie	płocka	Sierpc	mazowieckie
Św. Mateusza	Ligowo	Św. Mateusza|Ligowo 19|09-228 Ligowo|woj. mazowieckie	płocka	Tłuchowo	mazowieckie
Św. Mateusza	Bądkowo	Św. Mateusza|ul. Włocławska 47|87-704 Bądkowo|woj. kujawsko-pomorskie	włocławska	Bądkowo	kujawsko-pomorskie
Św. Mateusza	Sędzin	Św. Mateusza|Sędzin 25|87-706 Sędzin|woj. kujawsko-pomorskie	włocławska	Radziejów	kujawsko-pomorskie
Św. Mateusza	Lubstówek	Św. Mateusza|Lubstówek 1|62-611 Lubstówek	włocławska	Sompolno	
św. Mateusza Ap.	Myślibórz	św. Mateusza Ap.|Myślibórz 5|62-590 Myślibórz|woj. wielkopolskie	gnieźnieńska	goliński	wielkopolskie
św. Mateusza Ap.	Drołtowice	św. Mateusza Ap.|Drołtowice 15|56-500 Drołtowice|woj. dolnośląskie	kaliska	sycowski	dolnośląskie
św. Mateusza Apostoła	Jaminy	św. Mateusza Apostoła|Jaminy 14|16-312 Jaminy	ełcka	Lipsk - p.w. Błog. Męczennic: Marianny Biernackiej i S. Julii Rapiej	
Św. Mateusza Apostoła	Nowy Staw	Św. Mateusza Apostoła|pl. S. kard. Wyszyńskiego 1|82-230 Nowy Staw|woj. pomorskie	elbląska	NOWY STAW	pomorskie
Św. Mateusza Apostoła	Góra	Św. Mateusza Apostoła|Góra ul. Ks. Felskiego 1|84-252 Góra|woj. pomorskie	gdańska	Luzino	pomorskie
Św. Mateusza Apostoła	Czeladź	Św. Mateusza Apostoła|ul.Powstańców Śląskich 34|41-250 Czeladź	sosnowiecka	Czeladź-Św. Stanisława BM	
Św. Mateusza Apostoła	Różynka	Św. Mateusza Apostoła|Różynka 69|11-008 Różynka|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Świątki	warmińsko-mazurskie
Św. Mateusza Apostoła	Boguchwałów	Św. Mateusza Apostoła|Boguchwałów|48-100 Boguchwałów|woj. opolskie	opolska	Kietrz	opolskie
Św. Mateusza Apostoła	Ostrowite	Św. Mateusza Apostoła|Ostrowite 8|87-600 Ostrowite|woj. kujawsko-pomorskie	włocławska	Lipno	kujawsko-pomorskie
Św. Mateusza Apostoła i Ewangelisty	Chłaniów	Św. Mateusza Apostoła i Ewangelisty|22-335 Chłaniów|woj. lubelskie	lubelska	Turobin	lubelskie
Św. Mateusza Apostoła i Ewangelisty	Zdroje	Św. Mateusza Apostoła i Ewangelisty|Zdroje 85|89-505 Zdroje|woj. kujawsko-pomorskie	pelplińska	Tuchola	kujawsko-pomorskie
Św. Mateusza Apostoła i Św. Wawrzyńca Męczennika	Pabianice	Św. Mateusza Apostoła i Św. Wawrzyńca Męczennika|ul. Ks. P. Skargi 1|95-200 Pabianice|woj. łódzkie	łódzka	Pabianice	łódzkie
św. Mateusza Ap. Ew.	Mielec	św. Mateusza Ap. Ew.|ul. bł. ks. Romana Sitki 3|39-300 Mielec|woj. podkarpackie	tarnowska	Mielec-Północ	podkarpackie
Św. Mateusza Ap. Ew.	Biesiadniki	Św. Mateusza Ap. Ew.|Biesiadki 16|32-864 Biesiadniki|woj. małopolskie	tarnowska	Czchów	małopolskie
św. Mateusza Ap. i Ew.	Gębice	św. Mateusza Ap. i Ew.|ul. Ks. Greinerta 6|88-330 Gębice|woj. kujawsko-pomorskie	gnieźnieńska	trzemeszeński	kujawsko-pomorskie
św. Mateusza Ap. i Ewangelisty	Poznań	św. Mateusza Ap. i Ewangelisty|os. Orła Białego 1/2|61-251 Poznań|woj. wielkopolskie	poznańska	Poznań-Rataje	wielkopolskie
św. Mateusza Ewangelisty	Warszawa	św. Mateusza Ewangelisty|ul. Ostródzka 172|03-289 Warszawa|woj. mazowieckie	warszawsko-praska	Warszawa-Bródno	mazowieckie
Św. Mateusza Ewangelisty	Łódź	Św. Mateusza Ewangelisty|ul. 28 Pułku Strzelców Kaniowskich 18/20|90-639 Łódź|woj. łódzkie	łódzka	Łódź-Śródmieście	łódzkie
Św. Mateusza Ewangielisty	KĘTRZYN	Św. Mateusza Ewangielisty|ul.Sikorskiego 78|11-401 KĘTRZYN|woj. warmińsko-mazurskie	ordynariat polowy	Straż Graniczna	warmińsko-mazurskie
św. Mateusza Ew. i Ap.	Murzynno	św. Mateusza Ew. i Ap.|Murzynno|88-140 Murzynno|woj. kujawsko-pomorskie	gnieźnieńska	gniewkowski	kujawsko-pomorskie
Św. Mateusza i Św. Rocha	STARA SOBÓTKA	Św. Mateusza i Św. Rocha|Stara Sobótka 35|99-106 STARA SOBÓTKA|woj. łódzkie	łowicka	Krośniewice	łódzkie
św. Maurycego	Wrocław	św. Maurycego|ul. Traugutta 34|50-402 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Śródmieście	dolnośląskie
Św. Melchiora Grodzieckiego	Częstochowa	Św. Melchiora Grodzieckiego|ul. Ossowskiego 9|42-207 Częstochowa|woj. śląskie	częstochowska	ŚW. JÓZEFA W CZĘSTOCHOWIE	śląskie
Św. Melchiora Grodzieckiego	DARŁOWO	Św. Melchiora Grodzieckiego|os.Zwycięstwa 10/5|76-150 DARŁOWO|woj. zachodniopomorskie	ordynariat polowy	Marynarka Wojenna	zachodniopomorskie
Św. Męczennika Dymitra	SANOK	Św. Męczennika Dymitra|Hłomcza 50|38-503 SANOK|woj. podkarpackie	bizantyjska przemysko-warszawska	Sanok	podkarpackie
Św. Męczenników Jana i Pawła	MIKOŁAJEW	Św. Męczenników Jana i Pawła|Mikołajew 20|96-516 MIKOŁAJEW	łowicka	Sochaczew-Św. Wawrzyńca	
św. Michała	Cigacice	św. Michała|ul. Szkolny 12|66-131 Cigacice|woj. lubuskie	zielonogórsko-gorzowska	Sulechów	lubuskie
Św. Michała	Postolin	Św. Michała|Postolin 13|82-400 Postolin|woj. pomorskie	elbląska	SZTUM	pomorskie
Św. Michała	PRZYSŁUP	Św. Michała|ul.Hallera 30/25|38-315 PRZYSŁUP|woj. małopolskie	bizantyjska przemysko-warszawska	Krakowsko-Krynicki	małopolskie
Św. Michała	KRASICE	Św. Michała|ul.Basztowa 13|37-700 KRASICE|woj. podkarpackie	bizantyjska przemysko-warszawska	Przemyśl	podkarpackie
Św. Michała	KULASZNE	Św. Michała|Kulaszne 173|38-543 KULASZNE|woj. podkarpackie	bizantyjska przemysko-warszawska	Sanok	podkarpackie
Św. Michała	WIELOPOLE	Św. Michała|Mokre 9/3|38-542 WIELOPOLE|woj. podkarpackie	bizantyjska przemysko-warszawska	Sanok	podkarpackie
Św. Michała	Rozmierz	Św. Michała|ul. Kościelna 1|47-171 Rozmierz|woj. opolskie	opolska	Strzelce Opolskie	opolskie
św. Michała Arch.	Broniszewice	św. Michała Arch.|Broniszewice 125|63-304 Broniszewice|woj. wielkopolskie	kaliska	czermiński	wielkopolskie
św. Michała Archanioła	Żytkiejmy	św. Michała Archanioła|ul. Konopnickiej 10|19-505 Żytkiejmy	ełcka	Filipów - MB Częstochowskiej	
św. Michała Archanioła	Gliwice	św. Michała Archanioła|ul. B. Krzywoustego 1|44-100 Gliwice|woj. śląskie	gliwicka	Gliwice	śląskie
św. Michała Archanioła	Żernica	św. Michała Archanioła|ul. Leopolda Miki 3|44-144 Żernica|woj. śląskie	gliwicka	Gliwice Ostropa	śląskie
św. Michała Archanioła	Bytom Sucha Góra	św. Michała Archanioła|ul. Ks. P. Jaskółki 1|41-935 Bytom Sucha Góra|woj. śląskie	gliwicka	Żyglin	śląskie
św. Michała Archanioła	Brudnia	św. Michała Archanioła|Brudnia|88-133 Brudnia|woj. kujawsko-pomorskie	gnieźnieńska	gniewkowski	kujawsko-pomorskie
św. Michała Archanioła	Gniezno	św. Michała Archanioła|ul. św. Michała 1|62-200 Gniezno|woj. wielkopolskie	gnieźnieńska	gnieźniński >2<	wielkopolskie
św. Michała Archanioła	Jabłkowo	św. Michała Archanioła|Raczkowo 37|62-285 Jabłkowo|woj. wielkopolskie	gnieźnieńska	kiszkowski	wielkopolskie
św. Michała Archanioła	Mieścisko	św. Michała Archanioła|ul. Kościelna 1|62-150 Mieścisko	gnieźnieńska	kłecki	
św. Michała Archanioła	Winnagóra	św. Michała Archanioła|Winnagóra 9|63-013 Winnagóra|woj. wielkopolskie	gnieźnieńska	miłosławski	wielkopolskie
św. Michała Archanioła	Niestronno	św. Michała Archanioła|Niestronno|88-300 Niestronno|woj. kujawsko-pomorskie	gnieźnieńska	mogileński	kujawsko-pomorskie
